2018-11-20 7:23:00 - PHP Warning:  unlink(F:/wamp64/www/supermarket/storage/cache/cache.catalog.language.1542702180): Resource temporarily unavailable in F:\wamp64\www\supermarket\system\library\cache\file.php on line 68
2018-11-20 7:24:42 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:24:43 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:24:55 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:25:04 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:26:39 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:26:40 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:30:00 - PHP Warning:  unlink(F:/wamp64/www/supermarket/storage/cache/cache.catalog.language.1542702600): Resource temporarily unavailable in F:\wamp64\www\supermarket\system\library\cache\file.php on line 68
2018-11-20 7:30:10 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:30:11 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 7:50:04 - PHP Notice:  Undefined index: recurring_id in F:\wamp64\www\supermarket\admin\model\catalog\product.php on line 198
2018-11-20 7:50:44 - PHP Notice:  Undefined index: recurring_id in F:\wamp64\www\supermarket\admin\model\catalog\product.php on line 198
2018-11-20 8:05:07 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 8:06:52 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 8:06:53 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 8:09:17 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 8:09:18 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in F:\wamp64\www\supermarket\system\library\mail\mail.php on line 77
2018-11-20 8:11:27 - PHP Notice:  Undefined index: recurring_id in F:\wamp64\www\supermarket\admin\model\catalog\product.php on line 198
2018-11-20 8:15:58 - PHP Notice:  Undefined index: recurring_id in F:\wamp64\www\supermarket\admin\model\catalog\product.php on line 198
2018-11-20 8:16:49 - PHP Notice:  Undefined index: recurring_id in F:\wamp64\www\supermarket\admin\model\catalog\product.php on line 198
2018-11-20 8:17:26 - PHP Notice:  Undefined index: recurring_id in F:\wamp64\www\supermarket\admin\model\catalog\product.php on line 198
